watermark_method,project,language,seed_group,rng_seed,method_config,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
ewd,snake,java,,384552130,snake_game_ewd_T=0.7_rngS=384552130_gamma=0.5_hashKey=36728353_prefixLen=1,35,35,1,6,26,3,0,0,0.171429,1.85,1.85,0.75,3.025,2.275,0.171429,1.85,1
ewd,snake,java,,384552130,snake_game_ewd_T=0.7_rngS=384552130_gamma=0.5_hashKey=47646761_prefixLen=1,34,34,1,7,26,1,0,0,0.205882,2.085714,2.1,1.1,3.25,2.15,0.205882,2.085714,1
ewd,snake,java,,384552130,snake_game_ewd_T=0.7_rngS=384552130_gamma=0.5_hashKey=83782121_prefixLen=1,37,37,1,3,33,0,1,0,0.081081,0.433333,0.5,0.3,0.6,0.3,0.081081,0.433333,1
ewd,snake,python,,2012703279,python_snake_game_ewd_T=0.7_rngS=2012703279_gamma=0.5_hashKey=15485863_prefixLen=1,42,42,1,3,0,39,0,0,0.071429,1.133333,0.2,0.15,1.65,1.5,0.071429,1.133333,1
ewd,snake,python,,2012703279,python_snake_game_ewd_T=0.7_rngS=2012703279_gamma=0.5_hashKey=15485917_prefixLen=1,40,40,1,5,0,35,0,0,0.125,1.38,1.4,1.1,1.9,0.8,0.125,1.38,1
ewd,snake,python,,2012703279,python_snake_game_ewd_T=0.7_rngS=2012703279_gamma=0.5_hashKey=23873851_prefixLen=1,41,41,1,5,0,36,0,0,0.121951,2.86,3.3,2.9,3.6,0.7,0.121951,2.86,1
ewd,snake,python,,2012703279,python_snake_game_ewd_T=0.7_rngS=2012703279_gamma=0.5_hashKey=36728353_prefixLen=1,36,36,1,15,0,20,1,0,0.416667,1.366667,1.2,0.5,2.15,1.65,0.416667,1.366667,1
ewd,snake,python,,2012703279,python_snake_game_ewd_T=0.7_rngS=2012703279_gamma=0.5_hashKey=47646761_prefixLen=1,42,42,1,12,0,30,0,0,0.285714,1.625,1.35,0.85,2.15,1.3,0.285714,1.625,1
ewd,snake,python,,2012703279,python_snake_game_ewd_T=0.7_rngS=2012703279_gamma=0.5_hashKey=83782121_prefixLen=1,39,39,1,15,0,24,0,0,0.384615,2.413333,2.4,1.4,3.45,2.05,0.384615,2.413333,1
ewd,tank_battle,cpp,,1297660533,tank_battle_game_ewd_T=0.7_rngS=1297660533_gamma=0.5_hashKey=15485863_prefixLen=1,26,26,1,3,23,0,0,0,0.115385,0.666667,0.4,0.35,0.85,0.5,0.115385,0.666667,1
ewd,tank_battle,cpp,,1297660533,tank_battle_game_ewd_T=0.7_rngS=1297660533_gamma=0.5_hashKey=15485917_prefixLen=1,31,31,1,7,24,0,0,0,0.225806,0.542857,0.6,0.35,0.75,0.4,0.225806,0.542857,1
ewd,tank_battle,cpp,,1297660533,tank_battle_game_ewd_T=0.7_rngS=1297660533_gamma=0.5_hashKey=23873851_prefixLen=1,25,25,1,9,16,0,0,0,0.36,1.366667,1.3,1.0,1.6,0.6,0.36,1.366667,1
ewd,tank_battle,cpp,,1297660533,tank_battle_game_ewd_T=0.7_rngS=1297660533_gamma=0.5_hashKey=36728353_prefixLen=1,24,24,1,2,22,0,0,0,0.083333,0.15,0.15,0.125,0.175,0.05,0.083333,0.15,1
ewd,tank_battle,cpp,,1297660533,tank_battle_game_ewd_T=0.7_rngS=1297660533_gamma=0.5_hashKey=47646761_prefixLen=1,31,31,1,7,24,0,0,0,0.225806,1.142857,1.3,0.9,1.45,0.55,0.225806,1.142857,1
ewd,tank_battle,cpp,,1297660533,tank_battle_game_ewd_T=0.7_rngS=1297660533_gamma=0.5_hashKey=83782121_prefixLen=1,37,37,1,2,35,0,0,0,0.054054,1.0,1.0,0.9,1.1,0.2,0.054054,1.0,1
ewd,tank_battle,java,,2107680757,tank_battle_game_ewd_T=0.7_rngS=2107680757_gamma=0.5_hashKey=15485863_prefixLen=1,35,35,1,2,33,0,0,0,0.057143,1.75,1.75,1.725,1.775,0.05,0.057143,1.75,1
ewd,tank_battle,java,,2107680757,tank_battle_game_ewd_T=0.7_rngS=2107680757_gamma=0.5_hashKey=15485917_prefixLen=1,33,33,1,1,31,1,0,0,0.030303,1.0,1.0,1.0,1.0,0.0,0.030303,1.0,1
ewd,tank_battle,java,,2107680757,tank_battle_game_ewd_T=0.7_rngS=2107680757_gamma=0.5_hashKey=23873851_prefixLen=1,41,41,1,4,35,2,0,0,0.097561,1.625,1.75,1.425,1.95,0.525,0.097561,1.625,1
ewd,tank_battle,java,,2107680757,tank_battle_game_ewd_T=0.7_rngS=2107680757_gamma=0.5_hashKey=36728353_prefixLen=1,34,34,1,0,34,0,0,0,0.0,,,,,,0.0,,0
ewd,tank_battle,java,,2107680757,tank_battle_game_ewd_T=0.7_rngS=2107680757_gamma=0.5_hashKey=47646761_prefixLen=1,38,38,1,0,38,0,0,0,0.0,,,,,,0.0,,0
ewd,tank_battle,java,,2107680757,tank_battle_game_ewd_T=0.7_rngS=2107680757_gamma=0.5_hashKey=83782121_prefixLen=1,40,40,1,0,40,0,0,0,0.0,,,,,,0.0,,0
ewd,tank_battle,python,,1210046855,tank_battle_game_ewd_T=0.7_rngS=1210046855_gamma=0.5_hashKey=15485863_prefixLen=1,35,35,1,6,1,25,3,0,0.171429,0.5,0.45,0.25,0.575,0.325,0.171429,0.5,1
ewd,tank_battle,python,,1210046855,tank_battle_game_ewd_T=0.7_rngS=1210046855_gamma=0.5_hashKey=15485917_prefixLen=1,29,29,1,19,1,9,0,0,0.655172,2.168421,2.2,1.25,3.0,1.75,0.655172,2.168421,1
ewd,tank_battle,python,,1210046855,tank_battle_game_ewd_T=0.7_rngS=1210046855_gamma=0.5_hashKey=23873851_prefixLen=1,29,29,1,8,0,16,5,0,0.275862,0.8625,0.85,0.6,1.125,0.525,0.275862,0.8625,1
ewd,tank_battle,python,,1210046855,tank_battle_game_ewd_T=0.7_rngS=1210046855_gamma=0.5_hashKey=36728353_prefixLen=1,33,33,1,10,0,13,10,0,0.30303,0.55,0.55,0.325,0.775,0.45,0.30303,0.55,1
ewd,tank_battle,python,,1210046855,tank_battle_game_ewd_T=0.7_rngS=1210046855_gamma=0.5_hashKey=47646761_prefixLen=1,34,34,1,10,0,17,7,0,0.294118,0.9,0.55,0.325,1.5,1.175,0.294118,0.9,1
ewd,tank_battle,python,,1210046855,tank_battle_game_ewd_T=0.7_rngS=1210046855_gamma=0.5_hashKey=83782121_prefixLen=1,37,37,1,5,0,29,3,0,0.135135,0.46,0.4,0.3,0.6,0.3,0.135135,0.46,1
stone,brick_breaker,cpp,,3047071552,brick_breaker_game_stone_T=0.7_rngS=3047071552_gamma=0.5_hashKey=15485863_prefixLen=1_lang=cpp,23,23,1,4,19,0,0,0,0.173913,0.25,0.25,0.175,0.325,0.15,0.173913,0.25,1
stone,brick_breaker,cpp,,3047071552,brick_breaker_game_stone_T=0.7_rngS=3047071552_gamma=0.5_hashKey=15485917_prefixLen=1_lang=cpp,27,27,1,0,27,0,0,0,0.0,,,,,,0.0,,0
